open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,market_cap
2021-02-05,36936.65,38310.12,36570.0,38290.24,66681.334275,2021-02-05 23:59:59.999,2509278291.7515864,1853253,32756.385031,1232713879.8381383,0,763913262144.0
2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.311183,2021-02-06 23:59:59.999,3922095148.92815,2291646,52015.513362,2065180747.347224,0,781802965164.0
2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.679763,2021-02-07 23:59:59.999,3256521384.2406106,1976357,40764.388959,1574482907.5639021,0,773997292914.0
2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.536914,2021-02-08 23:59:59.999,5881536976.635699,3230961,72345.891568,3069313839.441136,0,925206481422.0
2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.861712,2021-02-09 23:59:59.999,5386255398.017187,3119034,57429.564347,2679451036.4918036,0,926115231252.0
2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.1822,2021-02-10 23:59:59.999,4431650130.251104,2891592,47971.985731,2190231238.817587,0,893938105548.0
2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.081454,2021-02-11 23:59:59.999,4185630934.4108953,2570949,46138.33674,2158335922.6923237,0,957020506206.0
2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.035697,2021-02-12 23:59:59.999,4080571908.9676614,2418841,41841.039135,1990472918.9285848,0,943415992560.0
2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399,2021-02-13 23:59:59.999,3007710147.41816,2058823,30996.309859,1462495399.9928117,0,940744407714.0
2021-02-14,47156.78,49707.43,47014.17,48577.79,73735.475533,2021-02-14 23:59:59.999,3584808348.834733,2090070,38752.156681,1884009921.0628607,0,969156057174.0
2021-02-15,48580.47,49010.92,45570.79,47911.1,79398.156784,2021-02-15 23:59:59.999,3782219060.6647215,2313155,38176.364661,1819251655.7814271,0,955855191660.0
2021-02-16,47911.1,50689.18,47003.62,49133.45,88813.266298,2021-02-16 23:59:59.999,4349983777.692368,2199849,45608.603838,2236524604.988356,0,980241807570.0
2021-02-17,49133.45,52618.74,48947.0,52119.71,85743.637818,2021-02-17 23:59:59.999,4365831514.815297,2514374,45055.446241,2294099235.2800226,0,1039819486326.0
2021-02-18,52117.67,52530.0,50901.9,51552.6,60758.046954,2021-02-18 23:59:59.999,3149973077.4874654,1891592,28893.358623,1498231635.8439088,0,1028505301560.0
2021-02-19,51552.61,56368.0,50710.2,55906.0,79659.77802,2021-02-19 23:59:59.999,4251167827.6842465,2339215,40556.020246,2164871310.2239413,0,1115358243600.0
2021-02-20,55906.0,57700.46,53863.93,55841.19,80948.205314,2021-02-20 23:59:59.999,4551890859.8512745,2642846,38636.066274,2172833878.4409647,0,1114065245214.0
2021-02-21,55841.19,58352.8,55477.59,57408.57,58166.708511,2021-02-21 23:59:59.999,3317998263.347889,1950533,29506.089085,1683107088.1573696,0,1145335416642.0
2021-02-22,57412.35,57508.47,47622.0,54087.67,134019.434944,2021-02-22 23:59:59.999,7213386720.436797,3313083,63677.661979,3427217154.5209727,0,1079081469102.0
2021-02-23,54087.67,54183.59,44892.56,48891.0,169375.025051,2021-02-23 23:59:59.999,8215839131.243385,3825196,82464.142992,4002195292.097356,0,975404784600.0
2021-02-24,48891.0,51374.99,46988.69,49676.2,91881.209252,2021-02-24 23:59:59.999,4574033001.379536,2194532,45750.714831,2278566606.1383467,0,991069995720.0
2021-02-25,49676.21,52041.73,46674.34,47073.73,83310.673121,2021-02-25 23:59:59.999,4152188728.1416154,2305679,40610.664759,2026068517.6463616,0,939149157738.0
2021-02-26,47073.73,48424.11,44106.78,46276.87,109423.200663,2021-02-26 23:59:59.999,5086374532.734615,2371766,53626.904622,2494190193.2522826,0,923251322622.0
2021-02-27,46276.88,48394.0,45000.0,46106.43,66060.834292,2021-02-27 23:59:59.999,3105897438.550972,1757720,31987.019647,1505012110.949598,0,919850942358.0
2021-02-28,46103.67,46638.46,43000.0,45135.66,83055.369042,2021-02-28 23:59:59.999,3708359965.454581,1838345,40688.17185,1817797446.6023808,0,900483498396.0001
2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.111648,2021-03-01 23:59:59.999,4057515794.865728,2147223,42616.994361,2032566685.6143072,0,989291000718.0
2021-03-02,49595.76,50200.0,47047.6,48440.65,64221.06214,2021-03-02 23:59:59.999,3120472069.909453,1855583,31377.038077,1525145370.1435204,0,966420031890.0
2021-03-03,48436.61,52640.0,48100.71,50349.37,81035.913705,2021-03-03 23:59:59.999,4109521257.5407,2242131,40955.368399,2077586898.6782105,0,1004500141122.0
2021-03-04,50349.37,51773.88,47500.0,48374.09,82649.716829,2021-03-04 23:59:59.999,4079837240.8567615,2291936,40269.977888,1987955554.8048143,0,965092119954.0
2021-03-05,48374.09,49448.93,46300.0,48751.71,78192.496372,2021-03-05 23:59:59.999,3727133104.8373103,2054216,38318.310377,1827025012.217549,0,972625865526.0
2021-03-06,48746.81,49200.0,47070.0,48882.2,44399.234242,2021-03-06 23:59:59.999,2143910705.2915032,1476474,21500.615617,1038365872.9799548,0,975229219320.0
2021-03-07,48882.2,51450.03,48882.2,50971.75,55235.028032,2021-03-07 23:59:59.999,2778875909.4491262,1758101,27885.596964,1402782879.7211533,0,1016916995550.0
2021-03-08,50959.11,52402.78,49274.67,52375.17,66987.359664,2021-03-08 23:59:59.999,3400847931.036074,1999401,33595.42957,1706117798.1054993,0,1044916066602.0
2021-03-09,52375.18,54895.0,51789.41,54884.5,71656.737076,2021-03-09 23:59:59.999,3861450964.654904,2194398,35011.541086,1886844773.6846297,0,1094978705700.0
2021-03-10,54874.67,57387.69,53005.0,55851.59,84749.238943,2021-03-10 23:59:59.999,4700197563.359213,2647284,42651.887405,2366856292.8667717,0,1114272731454.0
2021-03-11,55851.59,58150.0,54272.82,57773.16,81914.812859,2021-03-11 23:59:59.999,4612366201.00222,2509970,40603.449668,2288704819.0951066,0,1152609205896.0
2021-03-12,57773.15,58081.51,54962.84,57221.72,73405.406047,2021-03-12 23:59:59.999,4162054726.378839,2489931,35802.941462,2030616300.4734316,0,1141607647032.0
2021-03-13,57221.72,61844.0,56078.23,61188.39,83245.091346,2021-03-13 23:59:59.999,4933383453.245977,2559002,44387.231918,2631390814.772793,0,1220745093534.0
2021-03-14,61188.38,61724.79,58966.78,58968.31,52601.05275,2021-03-14 23:59:59.999,3176397573.8846426,1829769,25325.26705,1530051005.3980403,0,1176453165486.0
2021-03-15,58976.08,60633.43,54600.0,55605.2,102771.427298,2021-03-15 23:59:59.999,5874241052.093372,2683815,49825.438347,2848907086.6343694,0,1109357103120.0
